busi,label,x,y,name,categories,rating,review_count
m51uL1LZhKYf2y_yG4NEng,10,20.08931773,-4.613526051,Pho 87,"['Vietnamese', 'Restaurants']",3.5,258
LNGBEEelQx4zbfWnlc66cw,6,7.893465027,-17.17779018,Studio B Buffet,"['Buffets', 'Restaurants', 'Food', 'Seafood', 'Desserts']",4,1824
d3zW_b-JWlxMneNn7K9xew,2,18.83466177,-13.20131869,Streets of New York,"['Restaurants', 'Italian', 'Sandwiches', 'Pizza']",3,192
w55sCX7ZkLIJNhl_RhwjEg,5,-13.51678864,-6.85415881,Paradise Cantina,"['Restaurants', 'Nightlife', 'Mexican', 'Bars']",3,142
AnXovUgUHJap3QaDRnjL1w,19,-0.618743469,0.881412622,Blueberry Hill Family Restaurant,"['Diners', 'American (New)', 'Breakfast & Brunch', 'Restaurants']",4,285
4JNXUYY8wbaaDmk3BPzlWw,3,2.653986163,7.809740896,Mon Ami Gabi,"['Restaurants', 'Steakhouses', 'French', 'Breakfast & Brunch']",4,6414
L6qd3x0bHymyxub9dF7lIA,7,-9.22415247,-13.36374938,Cafe Noodle & Chinese Barbeque,"['Chinese', 'Restaurants', 'Noodles']",3,210
BORPULADzZV6_LJZzcsywQ,1,-9.261710299,4.677234637,PBR Rock Bar & Grill,"['Bars', 'American (New)', 'Restaurants', 'American (Traditional)', 'Nightlife']",3,628
i9D9xPBV0gR1Ja9kbY4NCw,19,-2.488780526,4.661836069,CRAFTkitchen,"['Bakeries', 'American (New)', 'Restaurants', 'Cafes', 'Breakfast & Brunch', 'Gluten-Free', 'Food']",4.5,367
x8O-Mll5ksDpeIgtA0XY-w,6,8.838515082,-18.10250021,Buffet At Asia,"['Restaurants', 'Chinese', 'Asian Fusion', 'Buffets', 'Seafood']",2.5,180
0S4WFZJZhVeM3aAqKjLz1w,3,6.369985249,10.1791087,VooDoo Steak,"['Restaurants', 'Steakhouses']",3.5,199
Ey1iEY8yAQG5MEBZPQ_niQ,1,12.05510091,-1.078107816,Fremont Hotel & Casino,"['Event Planning & Services', 'Arts & Entertainment', 'Hotels', 'Hotels & Travel', 'Restaurants', 'Casinos']",3,235
vLkKorA1gPS97Zj0_WKA0Q,3,4.548744579,8.654425244,Twist by Pierre Gagnaire,"['Restaurants', 'French', 'American (New)', 'Steakhouses']",4,230
oN_A87dyVD2FBk7coLnhCg,5,-18.72760189,-4.436183644,Chile Verde Express Mexican Grill,"['Restaurants', 'Mexican']",4.5,149
kJAmLFgiIjtjULunpr3NNg,8,-18.33221112,6.073004581,Blue Ribbon Sushi Bar and Grill,"['Restaurants', 'Japanese', 'American (Traditional)', 'Sushi Bars']",3.5,585
OAbwqq66Sc2JYkO6b6rEDw,16,-1.103924446,-17.10273373,Sun's Thai Food & Jerky,"['Thai', 'Restaurants', 'Food']",4,184
vDhifJNAtVFGjqJM5hFQkg,1,12.29341867,-1.822547623,Texas Station Gambling Hall & Hotel,"['Restaurants', 'Buffets', 'Casinos', 'Arts & Entertainment', 'Event Planning & Services', 'Hotels & Travel', 'Hotels']",3,169
XjepvTIfp4iqGq1orODedg,2,15.28913677,-11.13732056,Four Kegs Sports Bar,"['Nightlife', 'Restaurants', 'Bars', 'Sports Bars', 'American (New)', 'American (Traditional)']",4,368
95CCHowiE0W_ovv5-9lQAQ,12,15.99782338,11.4966334,Fat Boy,"['Restaurants', 'Pizza', 'Mexican', 'Burgers']",4.5,209
V-0qRzBHKixmQgon_fW_AA,7,-7.913231114,-3.980494946,Makai Pacific Island Grill,"['Hawaiian', 'American (Traditional)', 'Barbeque', 'Asian Fusion', 'Restaurants', 'Food']",4.5,293
lAR6Lj6-zBxQNqflZt0zTQ,4,6.166372113,-8.540236156,Buca di Beppo Italian Restaurant,"['Restaurants', 'Italian', 'Caterers', 'Event Planning & Services', 'Food', 'Pizza']",3,287
A5Rkh7UymKm0_Rxm9K2PJw,1,-8.712410013,7.256890832,Yard House Town Square,"['American (New)', 'Bars', 'Restaurants', 'Beer Bar', 'Seafood', 'Cocktail Bars', 'Asian Fusion', 'Steakhouses', 'Nightlife', 'Vegetarian', 'Sports Bars', 'Wine Bars', 'American (Traditional)']",4,1049
